,ord
0,a
1,abborre
2,abboten
3,abnormitet
4,abrovinklar
5,absolut
6,absoluta
7,absorberad
8,absorberande
9,absorption
10,abstinens
11,abstinensen
12,abstrahera
13,abstraheras
14,abstrakt
15,abstrakta
16,abstraktare
17,abstraktion
18,abstraktionen
19,abstraktioner
20,absurd
21,absurda
22,absurt
23,accelererande
24,accelererar
25,accenten
26,accentueras
27,acceptabel
28,acceptabelt
29,acceptabla
30,acceptera
31,accepterar
32,accepterat
33,ack
34,ackompanjemanget
35,ackompanjerad
36,ackord
37,ackorden
38,ackumulator
39,ackumulatorn
40,action
41,ad
42,addera
43,adderar
44,adderas
45,addition
46,adekvat
47,adjungerad
48,adjunkterna
49,adjö
50,administration
51,administrationen
52,administrationens
53,administrativ
54,administrativa
55,administrativt
56,administratör
57,administratörer
58,administrerande
59,adrenalin
60,adress
61,adressat
62,adressaten
63,adressbitarna
64,adressbussar
65,adressen
66,adresser
67,adressera
68,adressering
69,adresskonflikt
70,adressområdet
71,advokat
72,advokaten
73,advokater
74,affekter
75,affisch
76,affischer
77,affischerna
78,affär
79,affären
80,affärer
81,affärerna
82,affärsbekanta
83,affärskamrater
84,affärskvinna
85,affärsmässig
86,aforismer
87,afrika
88,afrikagrupperna
89,afrikanerna
90,afrikanska
91,afrikas
92,afro-amerikan
93,afton
94,aftonbladet
95,aftonbladets
96,aftonens
97,aga
98,agent
99,agenter
100,agentroman
101,agera
102,agerande
103,agerar
104,aggregat
105,aggressionshämningar
106,aggressiv
107,aggressivt
108,agiteringsförbud
109,agneta
110,agronom
111,aha
112,aha-upplevelser
113,aids
114,aids-strålar
115,aj
116,ajounerar
117,akademibokhandeln
118,akademisekreteraren
119,akademisk
120,akademiska
121,akademiskt
122,akrobater
123,akropolis
124,akt
125,akta
126,aktade
127,aktar
128,aktiebolag
129,aktionen
130,aktionsinriktat
131,aktiv
132,aktiva
133,aktivera
134,aktivering
135,aktiveringen
136,aktivitet
137,aktiviteter
138,aktiviteteter
139,aktivt
140,aktning
141,aktningsvärd
142,aktningsvärt
143,aktstycket
144,aktualiserat
145,aktuell
146,aktuella
147,aktuellt
148,aktörer
149,aktörerna
150,akut
151,akuta
152,akutmottagning
153,akvariet
154,akvarium
155,aldrig
156,alena
157,alger
158,algoritm
159,alkaloid
160,alkisen
161,alkohol
162,alkoholberusade
163,alkoholiserade
164,alkoholism
165,alkoholistens
166,alkoholister
167,all
168,alla
169,allah
170,allas
171,alldaglig
172,alldagliga
173,alldeles
174,allehanda
175,allena
176,allergisk
177,allesammans
178,allihop
179,allihopa
180,allitterationer
181,allmän
182,allmänbildning
183,allmänföreträdarna
184,allmängiltiga
185,allmängiltligt
186,allmänhet
187,allmänheten
188,allmänintressen
189,allmänmedicin
190,allmänmänsklig
191,allmänmänskliga
192,allmänna
193,allmänrelativistiska
194,allmänt
195,allomfattande
196,allpösighet
197,allra
198,allround
199,alls
200,allsköns
201,allsmäktig
202,allt
203,allteftersom
204,alltför
205,alltid
206,alltifrån
207,alltigenom
208,alltihop
209,alltihopa
210,allting
211,alltings
212,alltjämt
213,alltmer
214,alltnog
215,alltsammans
216,alltså
217,allvar
218,allvaret
219,allvarlig
220,allvarliga
221,allvarligare
